time;logger;level;message;exception
2012-02-25 19:12:25.4572;Raven.Database.Indexing.Index.Indexing;Debug;Index 'Temp/Tasks/ByCreatedAt_Date' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:tasks/1> indexed,omitNorms<CreatedAt_Date:20120225000000000>>;
2012-02-25 19:12:25.4572;Raven.Database.Indexing.Index.Indexing;Debug;Index 'Raven/DocumentsByEntityName' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:tasks/1> indexed,omitNorms<Tag:Tasks> indexed,omitNorms<LastModified:20120225211223873>>;
2012-02-25 19:12:25.8062;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Raven/DocumentsByEntityName;
2012-02-25 19:12:25.8062;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Temp/Tasks/ByCreatedAt_Date;
2012-02-25 19:12:25.8092;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 13 - step 1/2;
2012-02-25 19:12:25.8092;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 14 - step 2/2;
2012-02-25 19:12:25.8092;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 14, currentWorkCounter: 14, will wait for additional work;
2012-02-25 19:12:25.8292;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 14, currentWorkCounter: 14, will wait for additional work;
2012-02-25 19:12:25.8642;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 14, currentWorkCounter: 14, will wait for additional work;
2012-02-25 19:12:25.8642;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 14, currentWorkCounter: 14, will wait for additional work;
2012-02-25 19:12:32.6466;Raven.Database.Server.HttpServer;Debug;Request #  14: GET     -    45 ms - <default>  - 200 - /stats?noCache=602951349;
2012-02-25 19:12:37.8679;Raven.Database.Server.HttpServer;Debug;Request #  15: GET     -    25 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=/&noCache=990066925;
2012-02-25 19:12:37.8679;Raven.Database.Server.HttpServer;Debug;Request #  16: GET     -    37 ms - <default>  - 200 - /stats?noCache=-1689152192;
2012-02-25 19:12:37.8909;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:12:37.9439;Raven.Database.Server.HttpServer;Debug;Request #  17: GET     -    54 ms - <default>  - 200 - /docs/tasks/1?noCache=1467120947;
2012-02-25 19:12:38.0749;Raven.Database.Server.HttpServer;Debug;Request #  18: GET     -     1 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=tasks/1/&noCache=1974576587;
2012-02-25 19:12:38.2270;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:12:38.2540;Raven.Database.Server.HttpServer;Debug;Request #  19: GET     -    27 ms - <default>  - 200 - /docs/tasks/1?noCache=-1364577156;
2012-02-25 19:12:43.3082;Raven.Database.Server.HttpServer;Debug;Request #  20: GET     -    39 ms - <default>  - 200 - /stats?noCache=-1463882880;
2012-02-25 19:12:44.3103;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:12:44.3103;Raven.Database.Server.HttpServer;Debug;Request #  21: GET     -    34 ms - <default>  - 200 - /docs/tasks/1?noCache=-441618368;
2012-02-25 19:12:49.4156;Raven.Database.Server.HttpServer;Debug;Request #  22: GET     -    40 ms - <default>  - 200 - /stats?noCache=-320313501;
2012-02-25 19:12:50.3586;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:12:54.5449;Raven.Database.Server.HttpServer;Debug;Request #  23: GET     -    37 ms - <default>  - 200 - /stats?noCache=435338041;
2012-02-25 19:12:55.5659;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:00.7602;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:05.9305;Raven.Database.Server.HttpServer;Debug;Request #  24: GET     -    33 ms - <default>  - 200 - /stats?noCache=1361339480;
2012-02-25 19:13:06.7846;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:11.8879;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:11.8879;Raven.Database.Server.HttpServer;Debug;Request #  25: GET     -    37 ms - <default>  - 200 - /docs/tasks/1?noCache=-1871774161;
2012-02-25 19:13:11.9009;Raven.Database.Server.HttpServer;Debug;Request #  26: GET     -    49 ms - <default>  - 200 - /stats?noCache=1600877258;
2012-02-25 19:13:16.9792;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
